"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.175850550E-1,-1.574578881E-2,1.943498850E-3,-9.717941284E-3,1.860498417E-2
5.222803670E-1,-8.502468467E-3,-1.231738925E-2,-2.516746521E-3,1.517709000E-2
5.269756800E-1,-1.268535852E-3,-5.081146955E-3,-1.230239868E-4,5.238546792E-3
5.316709400E-1,-1.309743524E-2,-2.636870742E-2,1.647949219E-2,3.374055725E-2
5.363662530E-1,8.379459381E-3,-7.151365280E-3,1.159000397E-2,1.599017063E-2
5.410615650E-1,-5.937188864E-3,-9.449601173E-3,-1.222991943E-2,1.655645201E-2
5.457568780E-1,-5.867600441E-3,-1.884588599E-2,-9.750366211E-3,2.201512650E-2
5.504521900E-1,6.061017513E-3,-4.440009594E-3,-1.441001892E-2,1.625110039E-2
5.551475030E-1,-3.464102745E-3,9.842991829E-3,-4.796028137E-3,1.148417963E-2
5.598427630E-1,1.319010556E-2,9.741485119E-3,9.479522705E-3,1.894034761E-2
5.645380760E-1,5.921572447E-3,1.201426983E-2,4.652976990E-3,1.417948852E-2
5.692333880E-1,-1.313373446E-3,-2.285242081E-3,1.173210144E-2,1.202453681E-2
5.739287010E-1,-1.314887404E-2,-6.974071264E-3,1.638317108E-2,2.213456242E-2
5.786240130E-1,1.215070486E-3,-4.504501820E-3,2.010345459E-3,5.080198992E-3
5.833192730E-1,2.020506561E-2,-2.112179995E-3,-1.698780060E-2,2.648190608E-2
5.880145860E-1,1.290678978E-2,-2.344030142E-2,-9.728431702E-3,2.847236092E-2
5.927098980E-1,1.990753412E-2,-1.137095690E-2,-1.202011108E-2,2.588612845E-2
5.974052110E-1,-1.624643803E-3,-4.176229239E-3,-7.175445557E-3,8.459750414E-3
6.021005230E-1,7.897496223E-3,2.959102392E-3,-2.368927002E-3,8.760054150E-3
6.067957840E-1,1.025082171E-2,5.145668983E-4,4.768371582E-3,1.131730941E-2
6.114910960E-1,3.035515547E-3,2.893358469E-3,-2.389907837E-3,4.826752255E-3
6.161864090E-1,1.011760533E-2,2.423539758E-2,-1.423549652E-2,2.987255922E-2
6.208817210E-1,3.609636426E-2,9.777456522E-3,-1.886463165E-2,4.188580304E-2
6.255770340E-1,1.682865620E-2,-2.157598734E-3,-4.468917847E-3,1.754508844E-2
6.302722940E-1,4.868477583E-3,-4.473328590E-3,2.687454224E-3,7.136886776E-3
6.349676070E-1,4.872366786E-3,2.693414688E-3,-2.343559265E-2,2.408778619E-2
6.396629190E-1,-4.643589258E-3,2.681821585E-3,-1.137542725E-2,1.257598637E-2
6.443582320E-1,7.248267531E-3,-4.448920488E-3,-4.160881042E-3,9.468009652E-3
6.490535440E-1,-1.177722216E-2,5.117595196E-3,1.011276245E-2,1.634505144E-2
6.537488050E-1,2.631887794E-3,-1.392620802E-2,-1.834869385E-3,1.429100587E-2
6.584441170E-1,-2.582018077E-2,2.810835838E-3,-4.191398621E-3,2.630875055E-2
6.631394300E-1,-6.663292646E-3,-1.946866512E-3,1.007938385E-2,1.223861663E-2
6.678347420E-1,-1.133646071E-2,1.231688261E-2,2.877235413E-3,1.698527074E-2
6.725300550E-1,-1.359871030E-2,2.761840820E-3,-6.636619568E-3,1.538172311E-2
6.772253150E-1,-1.106894016E-2,2.750277519E-3,7.658004761E-3,1.373792196E-2
6.819206280E-1,-1.096053421E-2,-4.380404949E-3,1.471328735E-2,1.886271673E-2
6.866159400E-1,-3.698395193E-2,-1.987874508E-3,5.098342896E-3,3.738659446E-2
6.913112530E-1,-1.066356897E-3,-1.148030162E-2,9.801864624E-3,1.513310914E-2
6.960065650E-1,-1.762318611E-2,-6.628036499E-3,2.158546448E-2,2.864332092E-2
7.007018260E-1,-2.220593393E-2,-1.816183329E-3,-4.694938660E-3,2.276937576E-2
7.053971380E-1,6.497278810E-3,-4.162430763E-3,8.964538574E-5,7.716767334E-3
7.100924510E-1,8.773773909E-3,-1.714468002E-3,8.869171143E-5,8.940155220E-3
7.147877630E-1,1.541569829E-3,-6.435096264E-3,9.579658508E-3,1.164288446E-2
7.194830230E-1,1.518383622E-3,-1.626074314E-3,-7.110595703E-3,7.450515268E-3
7.241783360E-1,3.867372870E-3,-1.602292061E-3,2.439498901E-3,4.845107600E-3
7.288736480E-1,-3.323942423E-3,7.913440466E-3,-7.073402405E-3,1.112223695E-2
7.335689610E-1,1.804663241E-2,-1.112407446E-2,1.039505005E-4,2.119992405E-2
7.382642730E-1,1.316665113E-2,-3.930181265E-3,1.196765900E-2,1.822174219E-2
7.429595340E-1,2.488090098E-2,-1.542031765E-3,7.121086121E-3,2.592579725E-2
7.476548460E-1,2.700690925E-2,-1.810079813E-2,-2.429962158E-3,3.260240415E-2
7.523501590E-1,2.439682186E-2,1.056376100E-2,-3.719329834E-5,2.658569816E-2
7.570454710E-1,1.709192991E-2,5.768507719E-3,-2.407073975E-3,1.819900422E-2
7.617407840E-1,2.174153924E-2,8.102893829E-3,2.358436584E-3,2.332195618E-2
7.664360440E-1,1.451538503E-2,-3.847092390E-3,2.339363098E-3,1.519766897E-2
7.711313570E-1,3.099335730E-2,-8.550584316E-3,7.066726685E-3,3.291867730E-2
7.758266690E-1,1.414197683E-2,1.285851002E-2,-7.229804993E-3,2.043543170E-2
7.805219820E-1,1.166920364E-2,-1.574194431E-2,-4.796028137E-3,2.017377035E-2
7.852172420E-1,2.069205046E-3,1.009643078E-3,-1.899433136E-2,1.913336386E-2
7.899125550E-1,-2.676740289E-3,1.050296426E-2,-2.223968506E-3,1.106450327E-2
7.946078670E-1,-2.636462450E-3,3.306418657E-3,-4.577636719E-3,6.232021864E-3
7.993031800E-1,-4.971206188E-3,1.515415311E-2,2.059936523E-4,1.595003702E-2
8.039984400E-1,-1.961588860E-4,1.032125950E-2,9.697914124E-3,1.416391239E-2
8.086937530E-1,-9.669899940E-3,2.448335290E-2,2.498626709E-3,2.644210032E-2
8.133890650E-1,4.692450166E-3,1.239746809E-2,4.851341248E-3,1.411565852E-2
8.180843780E-1,-9.482875466E-3,7.587552071E-3,7.187843323E-3,1.411244009E-2
8.227796900E-1,-1.404763758E-2,4.159212112E-4,2.384185791E-3,1.425459414E-2
8.274749510E-1,-1.385599375E-2,-6.696611643E-3,2.366065979E-3,1.557020997E-2
8.321702630E-1,-1.609635353E-2,-1.913130283E-3,-1.189041138E-2,2.010309795E-2
8.368655760E-1,-3.018333018E-2,5.148649216E-4,-2.297401428E-3,3.027501544E-2
8.415608880E-1,-1.095998287E-2,2.662250400E-2,-1.651477814E-2,3.319061374E-2
8.462561480E-1,-1.322627068E-2,2.641212940E-2,-1.400470734E-2,3.269046716E-2
8.509514610E-1,-6.009548903E-3,1.011490822E-4,-1.388835907E-2,1.513312350E-2
8.556467730E-1,-1.546315849E-2,4.856914282E-3,1.470184326E-2,2.188248345E-2
8.603420860E-1,-1.777592301E-2,4.827290773E-3,3.404617310E-4,1.842286865E-2
8.650373460E-1,-8.177608252E-3,-4.693001509E-3,-6.781578064E-3,1.161410095E-2
8.697326590E-1,1.370832324E-3,1.431107521E-2,-1.979827881E-3,1.451226286E-2
8.744279710E-1,-8.144274354E-3,7.084012032E-3,-1.963615417E-3,1.097124499E-2
8.791232840E-1,1.089541614E-2,-2.484619617E-3,5.169868469E-3,1.231304055E-2
8.838185440E-1,1.316535473E-2,7.066756487E-3,7.500648499E-3,1.671901134E-2
8.885138570E-1,-1.107975841E-3,2.243995667E-3,2.692222595E-3,3.675756999E-3
8.932091690E-1,1.315471530E-2,2.119091153E-2,-2.075195312E-3,2.502813820E-2
8.979044820E-1,1.140251756E-3,4.415005445E-3,3.128051758E-4,4.570590140E-3
9.025997940E-1,8.238151670E-3,1.385164261E-2,1.217365265E-2,2.019735044E-2
9.072950550E-1,1.058773696E-2,1.853674650E-3,1.207256317E-2,1.616425270E-2
9.119903670E-1,3.340423107E-3,1.849085093E-3,4.853248596E-3,6.175076044E-3
9.166856800E-1,5.615800619E-3,1.845151186E-3,1.667594910E-2,1.769262778E-2
9.213809400E-1,1.976494491E-2,-5.305677652E-3,-4.820823669E-3,2.102483302E-2
9.260762530E-1,3.379708529E-2,1.839667559E-3,-2.409934998E-3,3.393280326E-2
9.307715650E-1,7.429003716E-3,8.954465389E-3,-1.716613770E-5,1.163498351E-2
9.354668780E-1,2.153562009E-2,-7.747799158E-3,-4.763603210E-3,2.337740876E-2
9.401621380E-1,-9.475156665E-3,-5.820393562E-4,7.140159607E-3,1.187852023E-2
9.448574510E-1,9.574711323E-3,4.179447889E-3,7.081031799E-3,1.262077228E-2
9.495527630E-1,9.511083364E-3,4.183769226E-3,-1.670455933E-2,1.967249181E-2
9.542480760E-1,-7.162183523E-3,-2.987235785E-3,2.416610718E-3,8.127758474E-3
9.589433880E-1,2.376899123E-3,-1.012676954E-2,-2.349853516E-3,1.066409501E-2
9.636386480E-1,-7.117375731E-3,4.205137491E-3,-4.702568054E-3,9.510749967E-3
9.683339610E-1,-4.669010639E-3,-2.937734127E-3,1.194667816E-2,1.315876367E-2
9.730292730E-1,-1.410368085E-2,1.842111349E-3,9.476661682E-3,1.709135174E-2
9.777245860E-1,-9.252533317E-3,-1.480087638E-2,-9.587287903E-3,1.991460278E-2
9.824198460E-1,-2.040609717E-3,-9.920924902E-3,-1.525878906E-5,1.012862635E-2
9.871151590E-1,5.082905293E-3,-2.172017097E-2,1.659488678E-2,2.780273405E-2
9.918104710E-1,-1.632754505E-2,-1.203677058E-2,-1.201820374E-2,2.357773938E-2
9.965057320E-1,-1.394395530E-2,-1.429849863E-2,1.892662048E-2,2.751541233E-2
1.001201044E0,7.516950369E-3,-1.179623604E-2,4.531860352E-3,1.470351950E-2
1.005896357E0,-1.964449883E-3,-4.568427801E-3,-2.622604370E-3,5.622068089E-3
1.010591669E0,-4.332199693E-3,-2.350321412E-2,-4.973411560E-3,2.441114194E-2
1.015286930E0,7.557064295E-3,5.177468061E-3,6.932258606E-3,1.148788952E-2
1.019982242E0,3.934055567E-4,5.143940449E-3,-9.735107422E-3,1.101758630E-2
1.024677555E0,-4.337668419E-3,5.110681057E-3,6.958007812E-3,9.661692445E-3
1.029372867E0,-6.686553359E-3,2.706021070E-3,-4.963874817E-3,8.756289114E-3
1.034068128E0,-1.868903637E-3,2.665996552E-3,-9.669303894E-3,1.020273376E-2
1.038763440E0,-1.835361123E-3,-2.092361450E-3,9.395599365E-3,9.799174165E-3
1.043458753E0,-4.232496023E-3,5.053967237E-3,2.118015289E-2,2.218232368E-2
1.048154065E0,1.237156987E-2,1.451483369E-2,4.392623901E-3,1.957118501E-2
1.052849326E0,-6.698399782E-3,4.913210869E-3,-5.134582520E-3,9.765865980E-3
1.057544638E0,9.983763099E-3,-1.178368926E-2,-5.092620850E-3,1.626239974E-2
1.062239951E0,-9.067237377E-3,-2.182513475E-3,4.442214966E-3,1.033012258E-2
1.066935263E0,1.478160918E-2,4.936873913E-3,6.777763367E-3,1.699431582E-2
1.071630523E0,5.183070898E-3,2.146011591E-2,1.621150970E-2,2.739003187E-2
1.076325836E0,3.536641598E-4,-9.211897850E-5,4.210472107E-3,4.226303303E-3
1.081021148E0,-1.627162099E-2,-7.227480412E-3,-2.943992615E-3,1.804630752E-2
1.085716409E0,2.862319350E-3,-9.528636932E-3,-5.290985107E-3,1.126864310E-2
1.090411721E0,-4.292324185E-3,7.143467665E-3,8.989334106E-3,1.225811180E-2
1.095107034E0,-1.133164763E-2,-2.424418926E-3,8.913993835E-3,1.461996345E-2
1.099802346E0,7.762014866E-3,-4.766225815E-3,4.095077515E-3,9.986763397E-3
1.104497607E0,5.665421486E-4,-9.489744902E-3,-6.866455078E-4,9.531406526E-3
1.109192919E0,2.921655774E-3,7.182657719E-3,1.690864563E-3,7.936351009E-3
1.113888232E0,9.974583983E-3,2.388507128E-3,-1.018810272E-2,1.445664999E-2
1.118583544E0,-1.929387450E-3,-1.897582412E-2,6.508827209E-3,2.015364157E-2
1.123278805E0,-1.867949963E-3,9.667098522E-3,1.708984375E-3,9.993130565E-3
1.127974117E0,2.909556031E-3,-9.413987398E-3,8.813858032E-3,1.322016522E-2
1.132669430E0,5.285888910E-4,-4.607230425E-3,8.740425110E-3,9.894493898E-3
1.137364690E0,2.912342548E-3,-4.613995552E-3,1.546859741E-3,5.671284610E-3
1.142060003E0,5.248799920E-3,-6.965935230E-3,8.652687073E-3,1.228589223E-2
1.146755315E0,5.163699389E-3,-1.404336095E-2,8.578300476E-3,1.724723216E-2
1.151450628E0,2.791360021E-3,-2.078771591E-3,-8.104324341E-3,8.820037138E-3
1.156145888E0,-1.857258379E-2,-2.103304863E-2,8.574485779E-3,2.934027624E-2
1.160841201E0,1.721987128E-2,-1.372826099E-2,1.562213898E-2,2.700074708E-2
1.165536513E0,-4.289895296E-3,-6.485611200E-3,6.000518799E-3,9.822045619E-3
1.170231826E0,2.881571651E-3,-1.588454843E-2,-1.065826416E-2,1.934479074E-2
1.174927086E0,-4.245832562E-3,-1.503407955E-3,6.042480469E-3,7.536504484E-3
1.179622398E0,5.222558975E-4,8.651614189E-4,1.244544983E-3,1.603168025E-3
1.184317711E0,7.595196366E-3,-6.277561188E-3,1.232147217E-3,9.930406289E-3
1.189012971E0,5.146861076E-3,-2.282455564E-2,8.341789246E-3,2.484020867E-2
1.193708284E0,3.752708435E-4,-1.075971127E-2,1.064491272E-2,1.514022396E-2
1.198403596E0,7.506966591E-3,8.323848248E-3,1.055717468E-2,1.539788733E-2
1.203098857E0,-4.402041435E-3,3.518313169E-3,9.784698486E-4,5.719606595E-3
1.207794169E0,3.700554371E-4,-3.648310900E-3,-1.089477539E-2,1.149535751E-2
1.212489482E0,1.230414212E-2,3.511548042E-3,-8.429527283E-3,1.532252633E-2
1.217184794E0,2.725362778E-3,1.055580378E-2,1.299571991E-2,1.696293995E-2
1.221880055E0,1.692867279E-2,-1.442968845E-3,1.020431519E-3,1.702067572E-2
1.226575367E0,9.685128927E-3,-6.165862083E-3,-2.271556854E-2,2.545224218E-2
1.231270680E0,1.290589571E-4,5.732506514E-3,-8.289337158E-3,1.007925581E-2
1.235965940E0,8.752942085E-5,3.350973129E-3,-8.220672607E-3,8.877845484E-3
1.240661253E0,4.763796926E-3,1.282545924E-2,3.218555450E-2,3.497279063E-2
1.245356565E0,1.889351010E-2,-1.508504152E-3,8.188247681E-3,2.064673603E-2
1.250051878E0,1.632271707E-2,-1.572239399E-2,1.049137115E-2,2.497385901E-2
1.254747138E0,1.937270164E-3,1.001358032E-3,-2.044391632E-2,2.055989903E-2
1.259442451E0,1.938194036E-3,5.749017000E-3,-1.315402985E-2,1.448572724E-2
1.264137763E0,-7.496714592E-3,-1.406699419E-3,1.194000244E-3,7.720438427E-3
1.268833023E0,1.156497002E-2,3.361612558E-3,1.067638397E-2,1.609453774E-2
1.273528336E0,9.112790227E-3,3.343820572E-3,-1.276016235E-3,9.790418743E-3
1.278223648E0,4.308149219E-3,-6.108731031E-3,-3.634452820E-3,8.311798350E-3
1.282918961E0,9.005859494E-3,-3.674060106E-3,-5.976676941E-3,1.141599274E-2
1.287614221E0,1.131984591E-2,-1.786988974E-2,-1.181602478E-3,2.118650644E-2
1.292309534E0,4.094734788E-3,8.419871330E-3,3.575325012E-3,1.002217717E-2
1.297004846E0,-1.018883288E-2,5.987703800E-3,-8.319854736E-3,1.445285076E-2
1.301700107E0,-2.968207002E-3,-1.069048047E-2,1.240730286E-3,1.116405111E-2
1.306395419E0,-1.007427275E-2,-1.059055328E-2,1.309585571E-2,1.962529559E-2
1.311090732E0,6.636038423E-3,6.118744612E-3,2.010631561E-2,2.203950928E-2
1.315785992E0,-1.478645205E-2,-1.999545097E-2,9.565353394E-4,2.488718915E-2
1.320481305E0,1.142631471E-2,-8.632242680E-4,5.694389343E-3,1.279577641E-2
1.325176617E0,-5.445480347E-4,-1.033732295E-2,-1.570987701E-2,1.881374535E-2
1.329871930E0,-5.297020078E-3,-3.122299910E-3,1.052188873E-2,1.218676827E-2
1.334567190E0,1.849299669E-2,-1.254928112E-2,-8.546829224E-3,2.392746692E-2
1.339262503E0,-5.401164293E-3,4.204005003E-3,-1.356124878E-3,6.977485827E-3
1.343957815E0,4.123225808E-3,8.925586939E-3,5.774497986E-3,1.140227698E-2
1.348653076E0,-6.964504719E-4,-3.031253815E-3,1.758861542E-2,1.786149309E-2
1.353348388E0,-5.477771163E-3,8.869856596E-3,-1.577949524E-2,1.891223950E-2
1.358043701E0,1.828363538E-2,-6.841123104E-4,-8.529663086E-3,2.018698800E-2
1.362738961E0,1.337246597E-2,-5.441039801E-3,5.778312683E-3,1.555045522E-2
1.367434273E0,3.757357597E-3,2.780720592E-2,-1.390457153E-3,2.809433765E-2
