"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.026892740E-1,-1.117402315E-2,-4.179120064E-3,1.897525787E-2,2.241392980E-2
8.073841180E-1,-6.320774555E-3,1.238285005E-2,1.881599426E-2,2.339505945E-2
8.120789620E-1,1.272985339E-2,2.886229753E-2,-1.218891144E-2,3.381790869E-2
8.167738060E-1,-1.109015942E-2,1.913094521E-2,-1.208686829E-2,2.520073581E-2
8.214686490E-1,1.028788090E-2,2.391174436E-3,4.622459412E-3,1.152932520E-2
8.261634930E-1,1.727873087E-2,9.463280439E-3,-2.536773682E-3,1.986311753E-2
8.308583370E-1,7.713466883E-3,2.125135064E-2,4.604339600E-3,2.307200508E-2
8.355532330E-1,5.318284035E-3,6.867691875E-3,6.940841675E-3,1.111866089E-2
8.402480760E-1,1.944038272E-2,3.288647532E-2,-2.159500122E-2,4.388385600E-2
8.449470870E-1,3.824648261E-2,2.784182131E-2,-2.432823181E-3,4.736960075E-2
8.496377640E-1,1.658454537E-2,1.572152972E-2,-2.412796021E-3,2.297901710E-2
8.543326080E-1,1.646015048E-2,2.036701143E-2,4.726409912E-3,2.660997292E-2
8.590274510E-1,2.111020684E-2,1.308205724E-2,-7.176399231E-3,2.585114621E-2
8.637222950E-1,1.860341430E-2,-1.261740923E-3,1.186752319E-2,2.210242341E-2
8.684171390E-1,1.365891099E-2,1.097753644E-3,4.647254944E-3,1.446955048E-2
8.731119830E-1,1.830354333E-2,1.058445871E-2,9.355545044E-3,2.312091451E-2
8.778068260E-1,1.581221819E-3,-1.334726810E-3,2.589035034E-2,2.597290894E-2
8.825016700E-1,6.326526403E-3,5.827590823E-3,-9.919166565E-3,1.312918948E-2
8.871965140E-1,3.941267729E-3,-1.557168365E-2,2.101230621E-2,2.644859042E-2
8.918913580E-1,6.350487471E-3,-5.946084857E-3,-5.262374878E-3,1.016745817E-2
8.965862010E-1,-1.027116179E-2,-3.520235419E-3,-3.606510162E-2,3.766404621E-2
9.012810450E-1,-3.630170226E-2,-3.460168839E-3,9.320259094E-3,3.763845886E-2
9.059758890E-1,-9.884774685E-3,1.346975565E-3,2.124786377E-3,1.019989367E-2
